#NetProvision Error Code,Error Description,BIS Error Code,BIS Error Description,Origin,sevirity,business rule,BIS Error Name
10033,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
17818,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
17819,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
17820,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
17821,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
17822,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
17823,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
17828,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
17829,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
65017,null,RM-BusinessViolation-01976,BusinessViolation-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_EXCEPTION
65019,null,RM-BusinessViolation-01976,BusinessViolation-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_EXCEPTION
65800,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
107025,null,RM-NotImplemented-00082,Feature not supported.,NetProvision,0,0,ERR_RM_NET_PROVISION_NOT_IMPLEMENTED
107200,null,RM-BusinessViolation-01976,BusinessViolation-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_EXCEPTION
107201,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
122000,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
122008,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133104,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133105,null,RM-NotImplemented-00082,Feature not supported.,NetProvision,0,0,ERR_RM_NET_PROVISION_NOT_IMPLEMENTED
133108,null,RM-NotImplemented-00082,Feature not supported.,NetProvision,0,0,ERR_RM_NET_PROVISION_NOT_IMPLEMENTED
133110,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133114,null,RM-NotImplemented-00082,Feature not supported.,NetProvision,0,0,ERR_RM_NET_PROVISION_NOT_IMPLEMENTED
133115,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
133116,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
133118,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133119,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133120,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133121,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133122,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133125,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
133127,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136002,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136003,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136004,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136005,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136006,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136007,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136008,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136009,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136010,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136012,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
136013,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
136017,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
136022,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136024,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
136025,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
146514,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
146515,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
146516,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
