# Each transaction will have a block of ten error codes.
# Validator error code, Error text, RM error Tag, Description, Origin, Severity, Bis Rule
# Validator errors.
001,null,RM-SystemFailure-08699,Validator failure error: %TAG=VARIABLE%s,RM,0,0
002,null,RM-DataNotFound-08699,No matching data found in object: %TAG=VARIABLE%s,RM,0,0
# RetrieveFacilityEquipmentInfo
010,null,RM-InvalidData-8451,Missing Equipment Target ID in object %TAG=VARIABLE%s,RM,0,0
# RetrieveFacilityCircuitInfo
020,null,RM-InvalidData-8450,Missing Facility Circuit in object %TAG=VARIABLE%s,RM,0,0
# ActivateResoucesForDSLService
030,null,RM-InvalidData-08700,Invalid data in object %TAG=VARIABLE%s,RM,0,0
031,null,RM-DataNotFound-08699,No data in object %TAG=VARIABLE%s,RM,0,0
# SendActivateTNPortingSubscriptionMsg
040,null,RM-InvalidData-03129,Missing the required Service Order Number in object %TAG=VARIABLE%s,RM,0,0
041,null,RM-InvalidData-08603,Missing Service Order correction Suffix in object %TAG=VARIABLE%s,RM,0,0
042,null,RM-InvalidData-02106,Service Provider is not entered in object %TAG=VARIABLE%s,RM,0,0
043,null,RM-InvalidData-08777,Missing Telephone Number in object %TAG=VARIABLE%s,RM,0,0
# ProductSubscriptionValidation
050,null,RM-InvalidData-08803,Invalid Component Type in object %TAG=VARIABLE%s,RM,0,0
051,null,RM-InvalidData-08784,Invalid HSIA Type in object %TAG=VARIABLE%s,RM,0,0
052,null,RM-InvalidData-08787,Invalid Component Speed in object %TAG=VARIABLE%s,RM,0,0
053,null,RM-InvalidData-08785,Invalid IP Address Type in object %TAG=VARIABLE%s,RM,0,0
054,null,RM-InvalidData-08789,Invalid Component Action Code in object %TAG=VARIABLE%s,RM,0,0
055,null,RM-InvalidData-09020,Invalid HD Streams in object %TAG=VARIABLE%s,RM,0,0
056,null,RM-InvalidData-09021,Invalid SD Streams in object %TAG=VARIABLE%s,RM,0,0
057,null,RM-InvalidData-08436,Missing Network Component in object %TAG=VARIABLE%s,RM,0,0
058,null,RM-InvalidData-08452,Invalid Device Type in object %TAG=VARIABLE%s,RM,0,0
059,null,RM-InvalidData-03456,Missing Serial Number in object %TAG=VARIABLE%s,RM,0,0
060,null,RM-InvalidData-03444,Missing Model in object %TAG=VARIABLE%s,RM,0,0
061,null,RM-InvalidData-03443,Missing Vendor in object %TAG=VARIABLE%s,RM,0,0
# ModifyService, ReserveActivateAssignment, ModifyPathStatus
